Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Target
0.374540,0.950714,0.731994,0.598658,0.156019,0.155995,0.020584
0.058084,0.866176,0.601115,0.708073,0.020584,0.969910,0.832443
0.212339,0.181825,0.183405,0.304242,0.524756,0.431945,0.291229
0.611853,0.139494,0.292145,0.366362,0.456070,0.785176,0.199674
0.514234,0.592415,0.046450,0.607545,0.170524,0.065052,0.948886
0.965632,0.808397,0.304614,0.097672,0.684233,0.440152,0.122038
0.495177,0.034389,0.909320,0.258780,0.662522,0.311711,0.520068
0.546710,0.184854,0.969585,0.775133,0.939499,0.894827,0.597900
0.921874,0.088493,0.195983,0.045227,0.325330,0.388677,0.271349
0.828738,0.356753,0.280935,0.542696,0.140924,0.802197,0.074551
0.986887,0.772245,0.198716,0.005522,0.815461,0.706857,0.729007
0.771270,0.074045,0.358466,0.115869,0.863103,0.623298,0.330898
0.063558,0.310982,0.325183,0.729606,0.637557,0.887213,0.472215
0.119594,0.713245,0.760785,0.561277,0.770967,0.493796,0.522733
0.427541,0.025419,0.107891,0.031429,0.636410,0.314356,0.508571
0.907566,0.249292,0.410383,0.755551,0.228798,0.076980,0.289751
0.161221,0.929698,0.808120,0.633404,0.871460,0.803672,0.186570
0.892559,0.539342,0.807440,0.896091,0.318003,0.110052,0.227935
0.427108,0.818015,0.860741,0.006952,0.510747,0.417411,0.222108
0.119865,0.337615,0.942910,0.323203,0.518791,0.703019,0.363630
0.971782,0.962447,0.251782,0.497249,0.300878,0.284840,0.036887
0.609564,0.502679,0.051479,0.278646,0.908266,0.239562,0.144895
0.489453,0.985650,0.242055,0.672136,0.761620,0.237638,0.728216
0.367783,0.632306,0.633529,0.535775,0.090290,0.835302,0.320780
0.186519,0.040775,0.590893,0.677564,0.016588,0.512093,0.226495
0.645173,0.174366,0.690938,0.386735,0.936730,0.137521,0.341066
0.113474,0.924694,0.877339,0.257942,0.659984,0.817222,0.555201
0.529651,0.241852,0.093102,0.897216,0.900418,0.633101,0.339030
0.349210,0.725956,0.897110,0.887086,0.779876,0.642032,0.084140
0.161629,0.898554,0.606429,0.009197,0.101472,0.663502,0.129618
